20220621A042IM00	20220621A0189700
20220620A0CNMK00	20220621A02XNR00
20220620A07B9F00	20220620A03R3B00
20220620A07BXT00	20220621A042IM00
20220615A0CLSX00	20220621A038AY00
20220618A07ES900	20220621A038AY00
20220620A07SPM00	20220621A038AY00
20220615A0BIXM00	20220621A038AY00
20220621A008PI00	20220619A073OH00
20220619A04CA800	20220619A073OH00
20220608A044C200	20220619A08PT800
20220619A07AKW00	20220621A03WWL00
20220619A07AKW00	20220619A08PT800
20220610A0BYU600	20220621A03WWL00
20220608A044C200	20220621A03WWL00
20220619A05Q9G00	20220621A03WWL00
20220611A026K200	20220621A03WWL00
20220619A05Q9G00	20220619A08PT800
20220611A026K200	20220619A08PT800
20220610A0BYU600	20220619A08PT800
20220620A06QCJ00	20220620A038UP00
20220620A0CPH500	20220620A09ZIQ00
20220620A0613S00	20220620A04WUZ00
20220618A09H7P00	20220620A04DT500
20220618A07ES900	20220620A0283M00
20220621A05AXQ00	20220621A04VMF00
20220621A04MV500	20220621A04VMF00
NEW2022062100016900	20220621A02XNR00
20220620A08OQ300	NEW2022062100016900
20220611A01N0H00	NEW2022062100016900
20220621A00PS100	20220620A0CW3400
20220620A0CW3400	20220620A04DT500
20220620A092TW00	20220620A04DT500
20220619A04CA800	20220621A03G7P00
20220619A06SPO00	20220621A03G7P00
20220618A06YX800	20220621A03G7P00
20220620A0BDJA00	20220620A0891W00
20220621A02RG400	20220621A03G7P00
20220620A0B94J00	20220620A0891W00
20220620A0AVH700	20220620A0891W00
20220621A01R4L00	20220620A0891W00
20220618A08S6X00	20220617A04U3K00
20220620A0757A00	20220617A04U3K00
20220618A07Y9N00	DSG2022062100035300
20220620A05N9500	20220621A017J700
20220621A059KK00	20220621A017J700
20220621A02RG400	20220621A043K100
20220620A02V9400	20220621A02Y0Q00
20220620A06GCG00	20220617A04U3K00
20220621A05AXQ00	20220621A04DIX00
20220620A092TW00	20220621A04DIX00
20220620A037OX00	20220619A01YL300
20220620A08QIB00	20220621A042IM00
20220620A09LZY00	20220620A09S6000
20220621A05AXQ00	20220621A03OMA00
20220621A03G7P00	20220620A0CVDJ00
20220621A01AQI00	20220621A00TU300
20220621A04IJG00	20220621A00TU300
20220611A069KT00	20220620A04KDJ00
20220611A02YCO00	20220620A04KDJ00
20220614A07AKG00	20220620A04KDJ00
20220620A03M0N00	20220620A04KDJ00
20220620A06Y6C00	20220620A04KDJ00
20220620A09RTR00	20220620A04KDJ00
20220620A0B5DB00	20220619A02QAY00
20220620A0CB3W00	20220617A04U3K00
20220618A09V9200	20220621A0A9RT00
20220621A009DZ00	20220621A0A9RT00
20220620A0A2J600	20220621A0A9RT00
20220621A07DVL00	20220621A08KP500
20220621A02WHE00	20220621A08KP500
20220621A04MV500	20220621A03T3300
20220620A0B94J00	20220619A07ZIZ00
20220620A037OX00	20220619A07ZIZ00
20220619A078SX00	20220619A08HXP00
20220619A096YN00	20220619A08HXP00
20220616A030BF00	20220619A08HXP00
20220620A0AK2700	20220619A08HXP00
20220621A02LI200	20220621A01LO700
20220621A02RG400	NEW2022062100016900
20220621A0569600	20220621A077OM00
20220620A0AKNV00	20220621A016XR00
20220620A09NS200	20220621A02XNR00
20220614A0DC9600	20220621A03G7P00
20220620A0933800	20220621A03G7P00
20220621A0037B00	20220621A03G7P00
20220621A04MV500	20220621A02TPO00
20220620A0CNMK00	20220620A07VXZ00
20220620A0CIZS00	20220621A0AFRU00
20220621A08YMN00	20220621A0AFRU00
20220620A08ENG00	NEW2022062100016900
20220621A0821F00	20220621A0AFRU00
20220621A00HHA00	NEW2022062100016900
20220621A0517M00	20220621A0AFRU00
20220620A0BV6Z00	20220621A02XNR00
20220620A0CI9000	20220621A02XNR00
20220621A0017P00	20220621A02XNR00
20220621A00G1L00	20220620A0BV6Z00
20220618A092AB00	20220621A052QA00
20220621A06MZT00	20220621A01JRI00
20220620A0AKNV00	20220619A093VP00
20220620A0B94J00	20220620A0ABG600
20220620A05PWV00	20220620A0ABG600
20220620A08DQ700	20220618A09GHE00
NEW2022062100016900	20220621A02RBS00
20220618A057CL00	20220621A02Y0Q00
20220618A09V9K00	20220621A02Y0Q00
20220620A037OX00	20220621A02Y0Q00
20220621A02RG400	20220621A0369700
20220619A078SX00	20220620A02E3000
20220617A0BEN900	20220621A02XNR00
20220620A08ZWH00	20220617A06RD000
20220621A05AXQ00	20220621A04ORY00
20220621A092M700	20220621A0BRTN00
20220602V071P800	20220621A0BRTN00
20220620A034QS00	20220621A02RBS00
20220620A09WED00	NEW2022062100016900
20220620A0B94J00	20220621A085T300
20220620A02NDI00	20220620A04KDJ00
20220620A0CRYQ00	20220619A04SCO00
20220620A0CNMK00	20220619A04SCO00
20220621A05LXF00	20220621A05FFX00
20220619A08U5P00	20220621A0C3DY00
20220621A02RG400	20220620A074I400
20220621V01V7J00	20220620A074I400
20220411A05LJA00	20220620A074I400
20220621A02TED00	20220621A033SO00
